Title,Authors,Year,Site,Nicolás,Jonathan,Farah,Zach,Victoria,Salman,Samantha,Eva
"Washington’s College Bound Scholarship Program and its Effect on College Entry, Persistence, and Completion","Mark C. Long, Dan Goldhaber, Trevor Gratz",2019,CALDER,,,,2,,4,,
"Sometimes Less, Sometimes More: Trends in Career and Technical Education Participation for Students With Disabilities","Roddy Theobald, Jay Plasman, Michael Gottfried, Trevor Gratz, Kristian Holden, Dan Goldhaber",2019,CALDER,,,,1,,,,
Community College Pathways for Disadvantaged Students,"Harry Holzer, Zeyu Xu",2019,CALDER,,,,3,,2,,
Setting a Good Example? Examining Sibling Spillovers in Educational Achievement Using a Regression Discontinuity Design,"Krzysztof Karbownik, Umut Özek",2019,CALDER,,,2,2,,,4,
Born in the Family: Preferences for Boys and the Gender Gap in Math,"Gaia Dossi, David Figlio, Paola Giuliano, Paola Sapienza",2019,CALDER,2,,,2,,,,
Do More Effective Teachers Become More Effective Principals?,"Dan Goldhaber, Kristian Holden, Bingjie Chen",2019,CALDER,,3,,3,,,,3
Using Free Meal and Direct Certification Data to Proxy for Student Disadvantage in the Era of the Community Eligibility Provision,"Cory Koedel, Eric Parsons",2019,CALDER,,,,2,,,,
Path to the Principalship and Value Added: A Cross-state Comparison of Elementary and Middle School Principals,"Wes Austin, Bingjie Chen, Dan Goldhaber , Eric Hanushek, Kristian Holden, Cory Koedel, Helen Ladd, Jin Luo, Eric Parsons, Gregory Phelan, Steven Rivkin, Tim Sass, Mavzuna Turaeva",2019,CALDER,,,,2,,,,
Taking their First Steps: The Distribution of New Teachers into School and Classroom Contexts and Implications for Teacher Effectiveness and Growth,"Paul Bruno, Sarah Rabovsky, Katharine Strunk",2019,CALDER,,,,2,,,,
An Extra Year to Learn English? Early Grade Retention and the Human Capital Development of English Learners,"David Figlio, Umut Özek",2019,CALDER,3,3,3,2,,,,
Searching for STARs: Work Experience as a Job Market Signal for Workers without Bachelor's Degrees,"Peter Q. Blair, Tomas G. Castagnino, Erica L. Groshen, Papia Debroy, Byron Auguste, Shad Ahmed, Fernando Garcia Diaz, Cristian Bonavida",2020,NBER,,1,,3,,4,,
The Effects of Professor Gender on the Post-Graduation Outcomes of Female Students,"Hani Mansour, Daniel I. Rees, Bryson M. Rintala, Nathan N. Wozny",2020,NBER,,,2,3,,,,
Winners and Losers? The Effect of Gaining and Losing Access to Selective Colleges on Education and Labor Market Outcomes,"Sandra E. Black, Jeffrey T. Denning, Jesse Rothstein",2020,NBER,,,,3,,1,,
Human Capital as Engine of Growth - The Role of Knowledge Transfers in Promoting Balanced Growth Within and Across Countries,"Isaac Ehrlich, Yun Pei",2020,NBER,,,2,1,,,,
"The Role of Heterogeneous Risk Preferences, Discount Rates, and Earnings Expectations in College Major Choice","Arpita Patnaik, Joanna Venator, Matthew Wiswall, Basit Zafar",2020,NBER,,,3,4,,,,
Long-run Trends in the U.S. SES-Achievement Gap,"Eric A. Hanushek, Paul E. Peterson, Laura M. Talpey, Ludger Woessmann",2020,NBER,3,,2,3,,,,
Effects of Scaling Up Private School Choice Programs on Public School Students,"David N. Figlio, Cassandra M.D. Hart, Krzysztof Karbownik",2020,NBER,2,,4,3,4,,4,
The Determinants of Income Segregation and Intergenerational Mobility: Using Test Scores to Measure Undermatching,"Raj Chetty, John N. Friedman, Emmanuel Saez, Nicholas Turner, Danny Yagan",2020,NBER,,,4,3,,,2,
"College Attainment, Income Inequality, and Economic Security: A Simulation Exercise","Brad Hershbein, Melissa Schettini Kearney, Luke W. Pardue",2020,NBER,,,4,3,,4,,
Correlation Neglect in Student-to-School Matching,"Alex Rees-Jones, Ran Shorrer, Chloe J. Tergiman",2020,NBER,,,,1,,,,
Not Playing Favorites: An Experiment on Parental Fairness Preferences,"James Berry, Rebecca Dizon-Ross, Maulik Jagnani",2020,NBER,,,2,1,,,,
Not All School Shootings are the Same and the Differences Matter,"Phillip B. Levine, Robin McKnight",2020,NBER,,,,1,,3,,
Technology and Big Data Are Changing Economics: Mining Text to Track Methods,"Janet Currie, Henrik Kleven, Esmée Zwiers",2020,NBER,,,,1,,,,
"A Century of the American Woman Voter: Sex Gaps in Political Participation, Preferences, and Partisanship Since Women's Enfranchisement","Elizabeth U. Cascio, Na’ama Shenhav",2020,NBER,3,,,1,,,,
Ask and You Shall Receive? Gender Differences in Regrades in College,"Cher Hsuehhsiang Li, Basit Zafar",2020,NBER,,,,2,,2,,
Linguistic Traits and Human Capital Formation,"Oded Galor, Ömer Özak, Assaf Sarid",2020,NBER,,3,,2,,,,
College Access and Adult Health,"Benjamin W. Cowan, Nathan Tefft",2020,NBER,,,,1,,,,
Structural Increases in Skill Demand after the Great Recession,"Peter Q. Blair, David J. Deming",2020,NBER,,2,,3,,,,
Finance and Children's Academic Performance,"Qing Hu, Ross Levine, Chen Lin, Mingzhu Tai",2020,NBER,,1,,1,,,,
Can Re-Enrollment Campaigns Help Dropouts Return to College? Evidence from Florida Community Colleges,"Justin C. Ortagus, Melvin J. Tanner, Isaac McFarlin Jr.",2020,NBER,,,,2,,1,1,
Studying More to Vote Less: Education and Voter Turnout in Italy,"Elona Harka, Lorenzo Rocco",2019,IZA,3,3,,2,,,,
"Policy Implementation, Principal Agency, and Strategic Action: Improving Teaching Effectiveness in New York City Middle Schools","Julie Cohen1 , Susanna Loeb2 , Luke C. Miller1 , & James Wyckof",2019,EdPolicyWorks,,,,1,,,,2
Gather-Narrow-Extract: A Framework for Studying Local Policy Variation Using WebScraping and Natural Language Processing,Kylie L. Anglin,2019,EdPolicyWorks,,,,2,,,,
Effects of Four-Day School Weeks on School Finance and Achievement: Evidence from Oklahoma,Emily Morton,2020,CEPA,,,,2,,,,
County-Level Rates of Implicit Bias Predict Black-White Test Score Gaps in U.S. Schools,"Francis A. Pearman, II",2020,CEPA,,,,2,3,,,
Is Effective Teacher Evaluation Sustainable? Evidence from DCPS,"Thomas S. Dee, Jessalynn James, James Wyckoff",2020,CEPA,,3,,2,,,,4
Can Repeated Aggregate Cross-Sectional Data Be Used to Measure Average Student Learning Rates? A Validation Study of Learning Rate Measures in the Stanford Education Data Archive,"Sean F. Reardon, John P. Papay, Tara Kilbride, Katharine O. Strunk, Joshua Cowen, Lily An, Kate Donohue",2020,CEPA,,,,3,,,,
My Brother’s Keeper? The Impact of Targeted Educational Supports,"Thomas S. Dee, Emily Penner",2020,CEPA,,,,2,4,,,
"Scores, Camera, Action? Incentivizing Teachers in Remote Areas","Arya Gaduh, Menno Pradhan, Jan Priebe, Dewi Susanti",2020,RISE,2,,,3,,,,
The Power of Believing You Can Get Smarter : The Impact of a Growth-Mindset Intervention on Academic Achievement in Peru (English),"Outes-Leon, Ingo; Sanchez, Alan; Vakis, Renos;",2020,World Bank,,,,1,,,,
Measuring and Explaining Management in Schools : New Approaches Using Public Data,"Leaver, Clare; Lemos, Renata Freitas; Dillenburg Scur, Daniela;",2019,World Bank,,,,2,,,,
Preventing Violence in the Most Violent Contexts : Behavioral and Neurophysiological Evidence,"Dinarte Diaz, Lelys Ileana; Egana-delSol, Pablo",2019,World Bank,3,,,1,,,,
Do Information Technologies Improve Teenagers' Sexual Education ? Evidence from a Randomized Evaluation in Colombia,"Chong, Alberto; Gonzalez-Navarro, Marco; Karlan, Dean S.; Valdivia Huaringa, Jose Martin;",2019,World Bank,2,,,1,,,,
Equivalent Years of Schooling : A Metric to Communicate Learning Gains in Concrete Term,"Evans, David; Yuan, Fei;",2019,World Bank,,3,,2,,,,
Integrating Refugees: Language Training or Work-First Incentives?,"Jacob Nielsen Arendt, Iben Bolvig, Mette Foged, Linea Hasager, Giovanni Peri",2020,NBER,2,,4,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
